Species_code,X,Y,Clusters_id,Land_use,Soil_type,UTM18N_Easting,UTM18N_Northing,Longitude,Latitude,Elevation(m),DBH
TILAME,1.523,1.425,1,Managed Forest,130E,721309.6056,4846099.074,-72.25189278029428,43.73489146292415,121.79,45
FAGGRA,2.815,0.457,1,Managed Forest,130E,721308.7879,4846097.661,-72.25190350412275,43.734878999064925,121.71,11.2
ACESAC,8.466,1.37,1,Managed Forest,130E,721310.3461,4846091.913,-72.25188654300192,43.73482683907848,121.57,8.2
CARCAR,0.541,1.503,1,Managed Forest,130E,721309.5709,4846100.093,-72.25189279127936,43.73490063771294,121.77,4.2
TSUCAN,7.737,9.076,1,Managed Forest,130E,721317.9503,4846093.31,-72.25179165024706,43.73483713362933,121.85,5.1
TSUCAN,3.411,9.298,1,Managed Forest,130E,721317.6761,4846097.788,-72.25179320807895,43.73487748860248,121.76,29.5
TSUCAN,6.413,6.024,1,Managed Forest,130E,721314.7538,4846094.419,-72.25183084117543,43.734848061475155,121.71,19.5
TSUCAN,9.283,5.312,1,Managed Forest,130E,721314.3723,4846091.401,-72.25183681527301,43.73482103278364,121.63,16
CARCAR,8.709,8.051,1,Managed Forest,130E,721317.0391,4846092.222,-72.25180340002973,43.73482762059019,121.83,5.8
FRANIG,9.68,3.47,1,Managed Forest,130E,721312.5802,4846090.837,-72.25185927549931,43.73481649526236,121.57,34.2
TSUCAN,4.589,12.787,1,Managed Forest,130E,721321.2918,4846096.866,-72.25174874066965,43.734868117425364,121.74,13.1
FRANIG,4.664,13.256,1,Managed Forest,130E,721321.7682,4846096.828,-72.25174284733967,43.73486763348555,121.74,24.4
TSUCAN,4.664,13.802,1,Managed Forest,130E,721322.3129,4846096.874,-72.25173607228312,43.73486788461934,121.82,20.4
TSUCAN,5.539,13.256,1,Managed Forest,130E,721321.8685,4846095.926,-72.25174197455665,43.73485949136436,121.78,15
FRANIG,5.221,13.638,1,Managed Forest,130E,721322.2131,4846096.286,-72.25173755217034,43.73486262619553,121.82,25.5
TSUCAN,5.354,14.13,1,Managed Forest,130E,721322.7192,4846096.19,-72.25173131433432,43.73486161176481,121.82,15.2
TSUCAN,9.412,12.764,1,Managed Forest,130E,721321.8214,4846091.893,-72.2517442187946,43.73482323441716,121.87,14.9
TSUCAN,9.041,13.474,1,Managed Forest,130E,721322.4872,4846092.335,-72.25173577869516,43.73482701085547,121.83,17.2
TSUCAN,8.616,14.403,1,Managed Forest,130E,721323.3653,4846092.851,-72.25172467489865,43.73483138945337,121.83,12.6
CARCAR,1.508,18.857,1,Managed Forest,130E,721326.9943,4846100.551,-72.25167649354916,43.73489955670184,121.74,6.1
TSUCAN,13.391,12.846,1,Managed Forest,130E,721322.359,4846087.798,-72.25173923630098,43.73478624536174,121.49,13.8
TSUCAN,14.399,13.939,1,Managed Forest,130E,721323.5649,4846086.851,-72.25172466888304,43.734777368555676,121.42,14.2
TSUCAN,15.433,14.868,1,Managed Forest,130E,721324.6101,4846085.863,-72.25171211156594,43.734768170974654,121.66,21.2
TSUCAN,16.017,19.376,2,Managed Forest,130E,721329.1743,4846085.639,-72.25165559235032,43.734764794174566,121.84,15.9
