OID_,Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,stake_x,stake_y,global_x,global_y,global_y_neg,global_x_neg,N18UTMFrom0313E,N18UTMFrom0313N,Land_use
1,0,1,TILAME,45,1.523,1.425,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,0,1.523,1.425,-1.425,-1.523,721309.6056,4846099.074,Managed Forest
2,0,2,FAGGRA,11.2,2.815,0.457,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,0,2.815,0.457,-0.457,-2.815,721308.7879,4846097.661,Managed Forest
3,0,3,ACESAC,8.2,8.466,1.37,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,0,8.466,1.37,-1.37,-8.466,721310.3461,4846091.913,Managed Forest
4,0,4,CARCAR,4.2,0.541,1.503,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,0,0.541,1.503,-1.503,-0.541,721309.5709,4846100.093,Managed Forest
5,0,5,ABCDE,10.8,0.938,2.194,,ABCDE ABCDE,ABCDE,ABCDE,OTHER,20,20,0,0,0.938,2.194,-2.194,-0.938,721310.3057,4846099.742,Managed Forest
6,0,6,TSUCAN,5.1,7.737,9.076,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,0,7.737,9.076,-9.076,-7.737,721317.9503,4846093.31,Managed Forest
7,0,7,TSUCAN,29.5,3.411,9.298,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,0,3.411,9.298,-9.298,-3.411,721317.6761,4846097.788,Managed Forest
8,0,8,TSUCAN,19.5,6.413,6.024,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,0,6.413,6.024,-6.024,-6.413,721314.7538,4846094.419,Managed Forest
9,0,9,TSUCAN,16,9.283,5.312,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,0,9.283,5.312,-5.312,-9.283,721314.3723,4846091.401,Managed Forest
10,0,10,CARCAR,5.8,8.709,8.051,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,0,8.709,8.051,-8.051,-8.709,721317.0391,4846092.222,Managed Forest
11,0,11,FRANIG,34.2,9.68,3.47,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,0,9.68,3.47,-3.47,-9.68,721312.5802,4846090.837,Managed Forest
12,0,12,TSUCAN,13.1,4.589,12.787,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,0,4.589,12.787,-12.787,-4.589,721321.2918,4846096.866,Managed Forest
