Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,Flagged,Flagged_Equation,stake_x,stake_y,global_x,global_y,AverageE,AverageN,POINT_X,POINT_Y,Land_use,AREASYMBOL,SPATIALVER,MUSYM,MUKEY
0,1,TILAME,45,1.523,1.425,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,1.523,1.425,721319.6882,4846106.227,721309.6056,4846099.074,Managed Forest,NH009,9,130E,281049
0,2,FAGGRA,11.2,2.815,0.457,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,2.815,0.457,721318.7202,4846104.935,721308.7879,4846097.661,Managed Forest,NH009,9,130E,281049
0,3,ACESAC,8.2,8.466,1.37,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,8.466,1.37,721319.6332,4846099.284,721310.3461,4846091.913,Managed Forest,NH009,9,130E,281049
0,4,CARCAR,4.2,0.541,1.503,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,0.541,1.503,721319.7662,4846107.209,721309.5709,4846100.093,Managed Forest,NH009,9,130E,281049
0,5,ABCDE,10.8,0.938,2.194,,ABCDE ABCDE,ABCDE,ABCDE,OTHER,20,20,TRUE,TRUE,0,0,0.938,2.194,721320.4572,4846106.812,721310.3057,4846099.742,Managed Forest,NH009,9,130E,281049
0,6,TSUCAN,5.1,7.737,9.076,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,7.737,9.076,721327.3392,4846100.013,721317.9503,4846093.31,Managed Forest,NH009,9,130E,281049
0,7,TSUCAN,29.5,3.411,9.298,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,3.411,9.298,721327.5612,4846104.339,721317.6761,4846097.788,Managed Forest,NH009,9,130E,281049
0,8,TSUCAN,19.5,6.413,6.024,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,6.413,6.024,721324.2872,4846101.337,721314.7538,4846094.419,Managed Forest,NH009,9,130E,281049
0,9,TSUCAN,16,9.283,5.312,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,9.283,5.312,721323.5752,4846098.467,721314.3723,4846091.401,Managed Forest,NH009,9,130E,281049
0,10,CARCAR,5.8,8.709,8.051,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,8.709,8.051,721326.3142,4846099.041,721317.0391,4846092.222,Managed Forest,NH009,9,130E,281049
0,11,FRANIG,34.2,9.68,3.47,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,9.68,3.47,721321.7332,4846098.07,721312.5802,4846090.837,Managed Forest,NH009,9,130E,281049
0,12,TSUCAN,13.1,4.589,12.787,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,4.589,12.787,721331.0502,4846103.161,721321.2918,4846096.866,Managed Forest,NH009,9,130E,281049
0,13,FRANIG,24.4,4.664,13.256,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,4.664,13.256,721331.5192,4846103.086,721321.7682,4846096.828,Managed Forest,NH009,9,130E,281049
0,14,TSUCAN,20.4,4.664,13.802,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,4.664,13.802,721332.0652,4846103.086,721322.3129,4846096.874,Managed Forest,NH009,9,130E,281049
0,15,TSUCAN,15,5.539,13.256,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,5.539,13.256,721331.5192,4846102.211,721321.8685,4846095.926,Managed Forest,NH009,9,130E,281049
0,16,FRANIG,25.5,5.221,13.638,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,5.221,13.638,721331.9012,4846102.529,721322.2131,4846096.286,Managed Forest,NH009,9,130E,281049
0,17,TSUCAN,15.2,5.354,14.13,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,5.354,14.13,721332.3932,4846102.396,721322.7192,4846096.19,Managed Forest,NH009,9,130E,281049
0,18,TSUCAN,14.9,9.412,12.764,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,9.412,12.764,721331.0272,4846098.338,721321.8214,4846091.893,Managed Forest,NH009,9,130E,281049
0,19,TSUCAN,17.2,9.041,13.474,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,9.041,13.474,721331.7372,4846098.709,721322.4872,4846092.335,Managed Forest,NH009,9,130E,281049
0,20,TSUCAN,12.6,8.616,14.403,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,8.616,14.403,721332.6662,4846099.134,721323.3653,4846092.851,Managed Forest,NH009,9,130E,281049
0,21,CARCAR,6.1,1.508,18.857,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,1.508,18.857,721337.1202,4846106.242,721326.9943,4846100.551,Managed Forest,NH009,9,130E,281049
0,22,TSUCAN,13.8,13.391,12.846,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,13.391,12.846,721331.1092,4846094.359,721322.359,4846087.798,Managed Forest,NH009,9,130E,281049
0,23,TSUCAN,14.2,14.399,13.939,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,14.399,13.939,721332.2022,4846093.351,721323.5649,4846086.851,Managed Forest,NH009,9,130E,281049
0,24,TSUCAN,21.2,15.433,14.868,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,15.433,14.868,721333.1312,4846092.317,721324.6101,4846085.863,Managed Forest,NH009,9,130E,281049
0,25,TSUCAN,15.9,16.017,19.376,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,16.017,19.376,721337.6392,4846091.733,721329.1743,4846085.639,Managed Forest,NH009,9,130E,281049
0,26,TSUCAN,22,10.102,12.955,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,10.102,12.955,721331.2182,4846097.648,721322.0909,4846091.197,Managed Forest,NH009,9,130E,281049
0,27,TSUCAN,25.5,13.948,14.704,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,13.948,14.704,721332.9672,4846093.802,721324.2764,4846087.38,Managed Forest,NH009,9,130E,281049
0,28,FRANIG,11.4,15.752,3.42,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,15.752,3.42,721321.6832,4846091.998,721313.226,4846084.574,Managed Forest,NH009,9,130E,281049
0,29,TSUCAN,23.4,10.287,3.556,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,0,10.287,3.556,721321.8192,4846097.463,721312.7356,4846090.219,Managed Forest,NH009,9,130E,281049
0,30,ACESAC,5.9,11.136,7.846,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,11.136,7.846,721326.1092,4846096.614,721317.1126,4846089.703,Managed Forest,NH009,9,130E,281049
0,31,ACESAC,17.2,12.038,9.021,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,12.038,9.021,721327.2842,4846095.712,721318.3881,4846088.872,Managed Forest,NH009,9,130E,281049
0,32,CARCAR,5.8,15.327,7.354,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,15.327,7.354,721325.6172,4846092.423,721317.1019,4846085.342,Managed Forest,NH009,9,130E,281049
0,33,FRANIG,46.5,17.98,8.857,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,17.98,8.857,721327.1202,4846089.77,721318.9052,4846082.733,Managed Forest,NH009,9,130E,281049
0,34,FRANIG,9.9,16.096,5.387,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,16.096,5.387,721323.6502,4846091.654,721315.2277,4846084.384,Managed Forest,NH009,9,130E,281049
0,35,ACESAC,4.2,17.449,4.841,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,17.449,4.841,721323.1042,4846090.301,721314.838,4846082.944,Managed Forest,NH009,9,130E,281049
0,36,FRANIG,12,17.423,3.42,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,17.423,3.42,721321.6832,4846090.327,721313.4174,4846082.852,Managed Forest,NH009,9,130E,281049
0,37,FRANIG,5.2,18.616,2.464,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,18.616,2.464,721320.7272,4846089.134,721312.6004,4846081.542,Managed Forest,NH009,9,130E,281049
0,38,ACESAC,21.6,19.173,8.693,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,19.173,8.693,721326.9562,4846088.577,721318.8783,4846081.49,Managed Forest,NH009,9,130E,281049
0,00001-2,TILAME,34.8,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,1.523,1.425,721319.6882,4846106.227,721309.6056,4846099.074,Managed Forest,NH009,9,130E,281049
0,00001-3,TILAME,36.1,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,1.523,1.425,721319.6882,4846106.227,721309.6056,4846099.074,Managed Forest,NH009,9,130E,281049
0,00001-4,TILAME,38.7,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,1.523,1.425,721319.6882,4846106.227,721309.6056,4846099.074,Managed Forest,NH009,9,130E,281049
0,00001-5,TILAME,24,1.523,1.425,M,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,FALSE,FALSE,0,0,1.523,1.425,721319.6882,4846106.227,721309.6056,4846099.074,Managed Forest,NH009,9,130E,281049
1,201,ACESAC,3.4,1.043,1.365,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,1.043,21.365,721339.6282,4846106.707,721329.4431,4846101.241,Managed Forest,NH009,9,130E,281049
1,202,TSUCAN,9.1,3.173,5.821,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,3.173,25.821,721344.0842,4846104.577,721334.1325,4846099.418,Managed Forest,NH009,9,130E,281049
1,203,CARCAR,4.5,2.175,5.333,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,2.175,25.333,721343.5962,4846105.575,721333.5313,4846100.406,Managed Forest,NH009,9,130E,281049
